contact_type,clinic_name,contact_name_or_role,city,state,email,phone,contact_url,source_ref
general,Fairfax Veterinary Hospital,,Fairfax,VA,animals@fairfaxveterinary.com,703-591-0222,https://fairfaxveterinary.com/contact/,turn1search0
general,All Animals Veterinary Hospital,,Sanford,NC,allanimalsvh@yourvetdoc.com,919-775-4944,https://allanimalsveterinaryhospital.com/contact,turn1search2
general,Carolinas Veterinary Medical Hospital,,Charlotte,NC,office@carolinasvet.com,704-752-7227,https://www.carolinasvet.com/contact-us.html,turn1search6
general,Meadowlands Veterinary Hospital,,Washington,PA,meadowlandsvet@verizon.net,724-745-7767,https://meadowlandsveterinary.com/contact,turn1search7
general,Springfield Animal Hospital,,Springfield,VA,Springfield@yourvetdoc.com,703-451-1995,https://springfieldah.com/contact,turn1search8
general,Rolesville Veterinary Hospital,,Rolesville,NC,info@rolesvillepetcare.com,919-562-0100,https://rolesvillepetcare.com/contact-us/,turn1search10
general,Dravosburg Veterinary Hospital,,Dravosburg,PA,dvh.desk@gmail.com,412-466-4444,https://dravosburgvethospital.com/contact/,turn1search11
general,Damascus Veterinary Hospital,,Damascus,MD,info@damascusvet.com,301-253-2072,https://www.damascusvet.com/contact-us.pml,turn1search13
general,Hanover Veterinary Hospital,,Hanover,PA,office@hanovervethospital.com,717-632-6711,https://hanovervethospital.com/contact-us/,turn1search15
general,Old Bridge Veterinary Hospital,,Woodbridge,VA,obvhfrontdesk@gmail.com,703-494-0094,https://www.oldbridgeveterinaryhospital.com/contact-us.pml,turn1search16
general,Potomac Valley Veterinary Hospital,,Fairfax,VA,info@pvvh.co,703-425-7387,https://pvvh.co/contact-us/,turn1search20
general,Reidsville Veterinary Hospital,,Reidsville,NC,info@reidsvillevet.com,336-349-3194,https://reidsvillevet.com/contact/,turn1search22
general,Metropolitan Veterinary Associates,,Norristown,PA,info@metro-vet.com,610-666-1050,https://metro-vet.com/contact/,turn1search23
general,Country Veterinary Hospital,,Mt. Airy,MD,CountryVH@yourvetdoc.com,301-829-0414,https://countryveterinaryhosp.com/contact,turn1search25
general,Philadelphia Animal Hospital,,Philadelphia,PA,info@philadelphiaanimalhospital.com,215-724-5550,https://www.philadelphiaanimalhospital.com/contact-us/,turn1search27
general,Liberty Falls Veterinary Clinic,,Potomac,MD,libertyfallsvetclinic@gmail.com,301-762-2070,https://libertyfallsvet.com/contact-us/,turn1search29
general,Pinnacle Veterinary Hospital,,Glen Mills,PA,info@pinnacle.vet,610-477-8797,https://pinnacle.vet/contact/,turn1search31
general,Central Bucks Veterinary Hospital,,Doylestown,PA,info@centralbucksvets.com,215-348-3117,https://www.centralbucksvets.com/contact-us/,turn1search35
general,Jefferson Veterinary Hospital,,Jefferson,MD,info@jeffersonvethospital.com,301-473-4111,https://www.jeffersonvethospital.com/contact,turn5search19
general,Veterinary Medical Teaching Hospital (Texas A&M),,College Station,TX,vethospital@cvm.tamu.edu,979-845-2351,https://vethospital.tamu.edu/contact-us/,turn2search0
general,St. Johns Veterinary Hospital,,St. Augustine,FL,reception@stjohnsvet.com,904-824-8123,https://www.stjohnsvet.com/contact-us,turn2search1
general,The Madison Veterinary Hospital,,Madison,OH,info@themadisonvet.com,440-428-5335,https://themadisonvet.com/contact-us/,turn2search2
general,Flemington Veterinary Hospital,,Hinesville,GA,flemingtonvetstaff@gmail.com,912-368-3226,https://flemingtonvet.com/contact-us/,turn2search3
general,Stoneside Veterinary Hospital,,Waller,TX,staff@stonesidevet.com,936-931-2244,https://stonesidevet.com/contact/,turn2search4
general,Blake Veterinary Hospital,,Dade City,FL,blakevethosp@yahoo.com,352-567-7495,https://www.blakevethospital.com/contact-us/,turn2search5
general,Sheffield Veterinary Hospital,,London,OH,sheffieldvh@yourvetdoc.com,740-852-9151,https://sheffieldvet.com/contact,turn2search6
general,Hoschton Animal Hospital,,Hoschton,GA,hoschtonanimalhospital@gmail.com,706-395-9100,https://hoschtonanimalhospital.com/contact/,turn2search7
general,UF Small Animal Hospital,,Gainesville,FL,smallanimal@ufl.edu,352-392-2235,https://smallanimal.vethospital.ufl.edu/contact-us/,turn2search9
general,Castleberry Veterinary Hospital,,Cumming,GA,hello@castleberryvets.com,678-679-3080,https://www.castleberryvets.com/contact-us,turn2search11
general,Young's Animal Hospital,,Hillsboro,TX,info@younganimalhospital.com,254-582-5010,https://younganimalhospital.com/contact,turn2search12
general,Marion Veterinary Hospital,,Ocala,FL,info.marionvet@gmail.com,352-867-5553,https://mymarionvet.com/contact-us,turn2search13
general,Waynesville Veterinary Hospital,,Waynesville,OH,WaynesvilleVeterinaryHospital@gmail.com,513-897-6991,https://waynesvilleveterinaryhospital.com/contact,turn2search14
general,Premier Veterinary Hospital,,Lawrenceville,GA,petcare@premiervethospital.com,770-339-9080,https://premiervethospital.com/contact/,turn2search15
general,Port St. John Veterinary Hospital,,Port St. John,FL,staff@psjvet.com,321-636-7001,https://caringforlifeinc.com/contact/,turn2search17
general,Cryan Veterinary Hospital,,Westerville,OH,clinic@cryanvet.com,614-882-4184,https://cryanvet.com/contact/,turn2search18
general,Coweta Animal Hospital,,Newnan,GA,cahvetga@gmail.com,770-253-1327,https://cowetaanimalhospital.com/contact-us,turn2search23
general,Texoma Veterinary Hospital,,Sherman,TX,tvhpetvet@gmail.com,903-893-5131,https://texomapetvet.com/contact/,turn2search24
general,Intracoastal West Veterinary Hospital,,Jacksonville,FL,info@icwvh.com,904-436-7387,https://icwvh.com/contact-us/,turn2search25
general,Eau Gallie Veterinary Hospital,,Melbourne,FL,info@eaugallievet.com,321-259-8492,https://eaugallievet.com/contact/,turn2search33
general,Cocoa Veterinary Hospital,,Cocoa,FL,staff@cocoavet.com,321-636-7001,https://cocoaveterinary.com/contact/,turn2search37
general,Stow Falls Pet Clinic,,Stow,OH,stowfallspetclinic@gmail.com,330-688-7021,https://wetreatpets.com/contact-sfpc/,turn2search38
general,Woodland Veterinary Hospital,,Woodland,CA,clientcare@woodlandvethospital.com,530-666-2461,https://woodlandvethospital.com/contact/,turn3search0
general,Brick Town Veterinary Hospital,,Brick,NJ,BrickTownVH@yourvetdoc.com,732-477-9440,https://bricktownvet.com/contact,turn3search2
general,Lincoln Park Veterinary Hospital,,Lincoln Park,MI,lpvh@downrivervet.com,313-389-2222,https://downrivervet.com/contact/,turn3search3
general,Lakeside Veterinary Hospital,,Carbondale,IL,LakesideSpears@gmail.com,618-361-4680,https://lakesidevetcare.com/contact-us,turn3search5
general,Union Lake Veterinary Hospital,,Waterford,MI,ulvh@msn.com,248-363-1508,https://unionlakeveterinaryhospital.com/contact,turn3search7
general,Groveway Pet Hospital,,Castro Valley,CA,info@grovewayvet.com,510-581-6629,https://grovewaypethospital.com/contact/,turn3search8
general,Elgin Animal Clinic,,Elgin,IL,elginanimalclinic1350@gmail.com,224-535-8837,https://www.elginanimalclinic.com/contact-us.html,turn3search9
general,VMC Caldwell,,Caldwell,NJ,staff@caldwellvmc.com,973-228-4021,https://caldwellvmc.com/contact/,turn3search10
general,Gibraltar Veterinary Hospital,,Gibraltar,MI,gibraltar@mvetpartners.com,734-675-5020,https://www.gibraltarvet.com/contact/,turn3search11
general,Mother Lode Veterinary Hospital,,Grass Valley,CA,motherlodevh@gmail.com,530-272-6651,https://motherlodevet.com/contact,turn3search12
general,Fairway Knolls Veterinary Hospital,,Bloomington,IL,staff@fairwayknolls.com,309-663-1414,https://www.fairwayknolls.com/contact,turn3search13
general,Spring Mills Veterinary Hospital,,Milford,NJ,springmillsveterinary@gmail.com,908-995-4959,https://www.springmillsvetnj.com/contact,turn3search14
general,Old Town Veterinary Hospital,,Murrieta,CA,frontdesk@oldtownvh.com,951-698-3200,https://www.oldtownvethospital.com/contact,turn3search16
general,Wright Animal Hospital,,Des Plaines,IL,WrightAH@yourvetdoc.com,847-299-0135,https://wrightanimalhospital.com/contact,turn3search17
general,Butler Veterinary Hospital,,Butler,NJ,butlervet.staff@gmail.com,973-850-6300,https://www.butlervet.net/contact-us.html,turn3search18
general,Mapleview Animal Hospital,,Holland,MI,mapleviewanimalhospital@gmail.com,616-399-2140,https://mapleviewanimalhospital.net/contact-us/,turn3search19
general,Valley Animal Hospital,,Geneva,IL,valley@genevavah.com,630-232-7067,https://www.genevavah.com/contact-us,turn3search21
general,Romeo Veterinary Hospital,,Romeo,MI,info@romeo.vet,586-752-2811,https://romeo.vet/contact-us/,turn3search23
